images,name,url,webshop,price,image_urls,desc
"[{'url': 'http://img.informatique.nl/110/110867.jpg', 'path': 'full/d6602aac46003b07f1021981f9abd9ae16e1fd2e.jpg', 'checksum': '65001f269daf4bbcb1f74e9b487aac90'}]",Seasonic X-750,http://www.informatique.nl/110867/seasonic-x-750.html,Informatique,"€ 149,00",http://img.informatique.nl/110/110867.jpg,"ATX ,750 Watt,Modulair,80+ Efficiency"
"[{'url': 'http://img.informatique.nl/110/110946.jpg', 'path': 'full/e70069d3e1b38f1589005cc33f3db05a8ae0d6bb.jpg', 'checksum': '99b6f67f6fc3d82f9948941105a37af7'}]",Seasonic S12II 620W,http://www.informatique.nl/110946/seasonic-s12ii-620w.html,Informatique,"€ 61,95",http://img.informatique.nl/110/110946.jpg,"ATX ,620 Watt,80+ Efficiency"
"[{'url': 'http://img.informatique.nl/110/131769.jpg', 'path': 'full/66cc8a54e0f8f3009d3b585db770003436d872ad.jpg', 'checksum': 'f0884bfffde7d72a666cab600788d5b8'}]","CoolerMaster Silent Pro M2, 850Watt, ATX",http://www.informatique.nl/131769/coolermaster-silent-pro-m2-850watt-atx.html,Informatique,"€ 145,00",http://img.informatique.nl/110/131769.jpg,"ATX ,850 Watt,Modulair,80+ Efficiency"
"[{'url': 'http://img.informatique.nl/110/530662.jpg', 'path': 'full/39eba414496bc07dc0a3315c972413d0994814ab.jpg', 'checksum': '0bae4658dbcd47cc174ce9a90d8f371d'}]",Corsair Professional Platinum AX760i,http://www.informatique.nl/530662/corsair-professional-platinum-ax760i.html,Informatique,"€ 179,00",http://img.informatique.nl/110/530662.jpg,"760 Watt,Modulair,80+ Efficiency,Actief"
"[{'url': 'http://img.informatique.nl/110/536079.jpg', 'path': 'full/56f4bc452be503bdc7d1403776cf99e2bd114c42.jpg', 'checksum': '7ef29b1ee32ee1cc1df74eda365f9d07'}]",Corsair Enthusiast Series RM450,http://www.informatique.nl/536079/corsair-enthusiast-series-rm450.html,Informatique,"€ 84,00",http://img.informatique.nl/110/536079.jpg,
"[{'url': 'http://img.informatique.nl/110/537868.jpg', 'path': 'full/095aa9a1adc8eaf101a37bd6c0aea57e009eee57.jpg', 'checksum': '262a8e522c484c97a2ada59d94d98573'}]",Corsair CS750M,http://www.informatique.nl/537868/corsair-cs750m.html,Informatique,"€ 103,00",http://img.informatique.nl/110/537868.jpg,
"[{'url': 'http://img.informatique.nl/110/542264.jpg', 'path': 'full/55d582103a5d0d0a5fa10c557d83e73215a89186.jpg', 'checksum': 'f78f95370010560409cfcae0ddd9b8f5'}]",Super Flower Leadex Gold 1300W,http://www.informatique.nl/542264/super-flower-leadex-gold-1300w.html,Informatique,"€ 212,00",http://img.informatique.nl/110/542264.jpg,
"[{'url': 'http://img.informatique.nl/110/543716.jpg', 'path': 'full/7da635addd0ea4cead6a4bde0b2b66b1deebd77a.jpg', 'checksum': '0dae5c9d2bae52433d1cec8774d3b201'}]",Be Quiet! Straight Power 10 700W,http://www.informatique.nl/543716/be-quiet-straight-power-10-700w.html,Informatique,"€ 114,00",http://img.informatique.nl/110/543716.jpg,
"[{'url': 'http://img.informatique.nl/110/110974.jpg', 'path': 'full/f211c72b28c6a1ca1f9d68eea75422d454038f5d.jpg', 'checksum': 'c7a253e8a273cee236be869895aac91c'}]","Seasonic P-860, 860Watt, ATX",http://www.informatique.nl/110974/seasonic-p-860-860watt-atx.html,Informatique,"€ 199,00",http://img.informatique.nl/110/110974.jpg,"ATX ,860 Watt,Modulair,80+ Efficiency"
"[{'url': 'http://img.informatique.nl/110/111917.jpg', 'path': 'full/5c8b0519564e068f8c8fa8f265e42c323883fcb4.jpg', 'checksum': '9284763259aef280e4c12b4ada2e6b46'}]",Seasonic G Series 650W,http://www.informatique.nl/111917/seasonic-g-series-650w.html,Informatique,"€ 105,00",http://img.informatique.nl/110/111917.jpg,"ATX ,650 Watt,Modulair,80+ Efficiency"
"[{'url': 'http://img.informatique.nl/110/131802.jpg', 'path': 'full/3634fb669744068897398e228fc3535853efb8c9.jpg', 'checksum': '54006237bbda9287b22e99e590d1ae85'}]",CoolerMaster VS650 650W,http://www.informatique.nl/131802/coolermaster-vs650-650w.html,Informatique,"€ 95,00",http://img.informatique.nl/110/131802.jpg,
"[{'url': 'http://img.informatique.nl/110/266005.jpg', 'path': 'full/76a68c91972409016df4962854c2c35cc90c8566.jpg', 'checksum': '892f7eff9f436afd971f97fc2317f314'}]",CoolerMaster Vanguard V700,http://www.informatique.nl/266005/coolermaster-vanguard-v700.html,Informatique,"€ 125,00",http://img.informatique.nl/110/266005.jpg,"ATX ,700 Watt,Modulair,80+ Efficiency"
